customer_id,gender,senior_citizen,partner,dependents,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,churn
4183-MYFRB,Female,No,No,No,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,No
8779-QRDMV,Male,Yes,No,No,No,,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,Yes
1680-VDCWW,Male,No,Yes,No,Yes,No,No,,,,,,,One year,No,Bank transfer (automatic),No
1066-JKSGK,Male,No,No,No,Yes,No,No,,,,,,,Month-to-month,No,Mailed check,Yes
3638-WEABW,Female,No,Yes,No,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),No
6322-HRPFA,Male,No,Yes,Yes,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),No
6865-JZNKO,Female,No,No,No,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),No
6467-CHFZW,Male,No,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes
8665-UTDHZ,Male,No,Yes,Yes,No,,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,Yes
5248-YGIJN,Male,No,Yes,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),No
8773-HHUOZ,Female,No,No,Yes,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,Yes
3841-NFECX,Female,Yes,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),No
4929-XIHVW,Male,Yes,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),No
6827-IEAUQ,Female,No,Yes,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,No
7310-EGVHZ,Male,No,No,No,Yes,No,No,,,,,,,Month-to-month,No,Bank transfer (automatic),No
3413-BMNZE,Male,Yes,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),No
6234-RAAPL,Female,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),No
6047-YHPVI,Male,No,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes
6572-ADKRS,Female,No,No,No,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),No
5380-WJKOV,Male,No,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes
8168-UQWWF,Female,No,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),Yes
8865-TNMNX,Male,No,Yes,Yes,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,No
9489-DEDVP,Female,No,Yes,Yes,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),No
9867-JCZSP,Female,No,Yes,Yes,Yes,No,No,,,,,,,One year,No,Mailed check,No
4671-VJLCL,Female,No,No,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),No
4080-IIARD,Female,No,Yes,No,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,No
3714-NTNFO,Female,No,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,No
5948-UJZLF,Male,No,No,No,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,No
7760-OYPDY,Female,No,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,Yes
7639-LIAYI,Male,No,No,No,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),No
2954-PIBKO,Female,No,Yes,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),No
8012-SOUDQ,Female,Yes,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,No
9420-LOJKX,Female,No,No,No,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),Yes
6575-SUVOI,Female,Yes,Yes,No,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),No
7495-OOKFY,Female,Yes,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),Yes
4667-QONEA,Female,Yes,Yes,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),No
1658-BYGOY,Male,Yes,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes
8769-KKTPH,Female,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),No
5067-XJQFU,Male,Yes,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,No
3957-SQXML,Female,No,Yes,Yes,Yes,Yes,No,,,,,,,Two year,No,Credit card (automatic),No
5954-BDFSG,Female,No,No,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),No
0434-CSFON,Female,No,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,No
1215-FIGMP,Male,No,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),No
0526-SXDJP,Male,No,Yes,No,No,,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),No
0557-ASKVU,Female,No,Yes,Yes,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),No
5698-BQJOH,Female,No,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,Yes
5122-CYFXA,Female,No,No,No,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,No
8627-ZYGSZ,Male,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,No
3410-YOQBQ,Female,No,No,No,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,No
3170-NMYVV,Female,No,Yes,Yes,Yes,No,No,,,,,,,Two year,No,Bank transfer (automatic),No
7410-OIEDU,Male,No,No,No,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,No
2273-QCKXA,Male,No,No,No,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,No
0731-EBJQB,Female,No,Yes,Yes,Yes,No,No,,,,,,,One year,Yes,Electronic check,No
1891-QRQSA,Male,Yes,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),No
8028-PNXHQ,Male,No,Yes,Yes,Yes,Yes,No,,,,,,,Two year,Yes,Bank transfer (automatic),No
5630-AHZIL,Female,No,No,Yes,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),No
2673-CXQEU,Female,Yes,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,No
6416-JNVRK,Female,No,No,No,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),No
5590-ZSKRV,Female,No,Yes,Yes,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,No
0191-ZHSKZ,Male,Yes,No,No,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,No
3887-PBQAO,Female,No,Yes,Yes,Yes,Yes,No,,,,,,,One year,Yes,Credit card (automatic),No
5919-TMRGD,Female,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,Yes
8108-UXRQN,Female,No,Yes,Yes,No,,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,No
9191-MYQKX,Female,No,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),Yes
9919-YLNNG,Female,No,No,No,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),No
0318-ZOPWS,Female,No,Yes,No,Yes,No,No,,,,,,,Two year,Yes,Bank transfer (automatic),No
4445-ZJNMU,Male,No,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),No
4808-YNLEU,Female,No,Yes,No,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),No
1862-QRWPE,Female,No,Yes,Yes,Yes,No,No,,,,,,,Two year,No,Bank transfer (automatic),No
2796-NNUFI,Female,No,Yes,Yes,Yes,No,No,,,,,,,Two year,Yes,Mailed check,No
3016-KSVCP,Male,No,Yes,No,No,,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,No
4767-HZZHQ,Male,No,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),No
2424-WVHPL,Male,Yes,No,No,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,No
7233-PAHHL,Male,No,Yes,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,No
6067-NGCEU,Female,No,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),No
9848-JQJTX,Male,No,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),No
8637-XJIVR,Female,No,No,No,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes
9803-FTJCG,Male,No,Yes,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),No
0278-YXOOG,Male,No,No,No,Yes,No,No,,,,,,,Month-to-month,No,Mailed check,Yes
3212-KXOCR,Male,No,No,No,Yes,No,No,,,,,,,Two year,No,Bank transfer (automatic),No
4598-XLKNJ,Female,Yes,Yes,No,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes
6380-ARCEH,Male,No,No,No,Yes,No,No,,,,,,,Month-to-month,No,Mailed check,No
3679-XASPY,Female,No,Yes,Yes,Yes,No,No,,,,,,,Month-to-month,No,Electronic check,No
7123-WQUHX,Male,No,No,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),No
5386-THSLQ,Female,Yes,Yes,No,No,,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),No
3192-NQECA,Male,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),Yes
6180-YBIQI,Male,No,No,No,No,,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,No
6728-DKUCO,Female,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,No
9750-BOOHV,Female,No,No,No,No,,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,No
8597-CWYHH,Male,No,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,No
2848-YXSMW,Male,No,Yes,Yes,Yes,No,No,,,,,,,Two year,No,Credit card (automatic),No
0486-HECZI,Male,No,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,Yes
4549-ZDQYY,Female,No,No,No,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),No
5712-AHQNN,Female,No,No,No,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,No
4846-WHAFZ,Female,Yes,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes
5256-SKJGO,Female,No,Yes,Yes,No,,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,No
3071-VBYPO,Male,No,Yes,Yes,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,No
9560-BBZXK,Female,No,No,No,No,,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),No
5299-RULOA,Female,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes
8402-OOOHJ,Female,No,No,No,Yes,No,No,,,,,,,Two year,No,Mailed check,No
9445-ZUEQE,Male,No,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),No
1091-SOZGA,Female,No,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),No
2928-HLDBA,Female,No,No,No,Yes,No,No,,,,,,,Month-to-month,No,Mailed check,No
0404-SWRVG,Male,No,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes
6497-TILVL,Female,No,Yes,Yes,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,No
7219-TLZHO,Female,No,Yes,Yes,Yes,No,No,,,,,,,Month-to-month,No,Mailed check,No
4622-YNKIJ,Male,No,No,No,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,No
4412-YLTKF,Female,Yes,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,Yes
6734-PSBAW,Male,No,Yes,No,Yes,Yes,No,,,,,,,Two year,Yes,Bank transfer (automatic),No
3930-ZGWVE,Male,No,No,No,Yes,No,No,,,,,,,Month-to-month,No,Mailed check,No
2639-UGMAZ,Male,Yes,No,No,No,,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,No
2876-GZYZC,Female,No,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,No
6207-WIOLX,Female,No,Yes,Yes,No,,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),Yes
8587-XYZSF,Male,No,No,No,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),No
3091-FYHKI,Male,No,No,No,No,,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,Yes
2372-HWUHI,Male,No,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,Yes
7799-LGRDP,Female,No,No,No,Yes,Yes,No,,,,,,,Two year,Yes,Credit card (automatic),No
7850-VWJUU,Female,No,No,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),No
3774-VBNXY,Female,No,Yes,Yes,Yes,No,No,,,,,,,Two year,No,Mailed check,No
6217-KDYWC,Male,No,No,Yes,Yes,No,No,,,,,,,Two year,Yes,Mailed check,No
0390-DCFDQ,Female,Yes,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,Yes
3146-MSEGF,Female,Yes,Yes,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),No
4080-OGPJL,Female,No,No,No,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,Yes
1095-WGNGG,Female,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),No
2636-SJDOU,Male,No,No,No,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),No
1131-QQZEB,Male,Yes,Yes,No,Yes,Yes,No,,,,,,,Two year,No,Bank transfer (automatic),No
5716-EZXZN,Female,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),No
6837-BJYDQ,Male,No,No,No,Yes,No,No,,,,,,,One year,No,Mailed check,No
2135-RXIHG,Male,No,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes
6440-DKQGE,Male,No,No,Yes,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),No
3466-BYAVD,Male,No,Yes,Yes,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,No
3780-YVMFA,Female,No,Yes,Yes,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,No
3874-EQOEP,Male,No,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,Yes
1679-JRFBR,Female,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),No
9073-ZZIAY,Male,No,Yes,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,No
3077-RSNTJ,Female,No,Yes,Yes,Yes,No,No,,,,,,,Month-to-month,No,Mailed check,No
6551-GNYDG,Female,No,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),No
9167-APMXZ,Female,No,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),No
2749-CTKAJ,Male,No,Yes,Yes,Yes,No,No,,,,,,,One year,No,Mailed check,No
6371-NZYEG,Male,No,Yes,Yes,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,No
7554-NEWDD,Male,No,No,No,Yes,Yes,No,,,,,,,Two year,No,Bank transfer (automatic),No
8992-VONJD,Female,No,No,Yes,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,No
0867-MKZVY,Female,No,Yes,No,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,Yes
4482-EWFMI,Female,No,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,No
4648-YPBTM,Male,No,No,No,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),No
2907-ILJBN,Female,No,Yes,Yes,Yes,No,No,,,,,,,One year,No,Mailed check,No
6345-FZOQH,Male,No,Yes,No,Yes,No,No,,,,,,,Two year,No,Mailed check,No
3376-BMGFE,Female,No,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),Yes
5997-OPVFA,Male,No,Yes,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),No
3445-HXXGF,Male,Yes,Yes,No,No,,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,Yes
1159-WFSGR,Female,No,Yes,Yes,Yes,No,No,,,,,,,Month-to-month,No,Electronic check,No
7654-YWJUF,Male,No,Yes,No,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),No
1875-QIVME,Female,No,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,Yes
6727-IOTLZ,Male,No,Yes,No,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,No
0691-JVSYA,Female,No,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),Yes
5918-VUKWP,Female,No,No,No,Yes,No,No,,,,,,,One year,No,Bank transfer (automatic),No
1744-JHKYS,Female,No,Yes,No,Yes,Yes,No,,,,,,,Month-to-month,No,Electronic check,No
2656-FMOKZ,Female,Yes,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,Yes
2070-FNEXE,Female,Yes,No,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),Yes
5947-SGKCL,Female,No,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),No
3712-PKXZA,Male,No,Yes,No,Yes,No,No,,,,,,,One year,Yes,Credit card (automatic),No
6317-YPKDH,Female,No,No,No,No,,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),Yes
6582-OIVSP,Female,No,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,No
9367-WXLCH,Male,No,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),Yes
5524-KHNJP,Male,No,Yes,Yes,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),No
1918-ZBFQJ,Female,No,No,No,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,Yes
1024-GUALD,Female,No,Yes,No,No,,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes
4827-USJHP,Male,No,No,No,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,No
8167-GJLRN,Male,No,No,No,No,,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,No
0956-SYCWG,Female,No,No,No,Yes,No,No,,,,,,,One year,No,Electronic check,No
8017-UVSZU,Female,No,Yes,No,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),No
7100-FQPRV,Male,No,Yes,Yes,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),No
2472-OVKUP,Male,No,Yes,No,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,Yes
2984-RGEYA,Female,No,Yes,Yes,Yes,No,No,,,,,,,Two year,No,Bank transfer (automatic),No
9680-NIAUV,Female,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),No
2146-EGVDT,Male,No,Yes,Yes,Yes,No,No,,,,,,,Two year,No,Credit card (automatic),No
2604-IJPDU,Female,No,Yes,No,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,No
9178-JHUVJ,Male,No,Yes,Yes,Yes,Yes,No,,,,,,,Two year,Yes,Bank transfer (automatic),No
6168-YBYNP,Male,No,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,No
7255-SSFBC,Male,No,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),No
3645-DEYGF,Male,No,No,Yes,Yes,No,No,,,,,,,Month-to-month,No,Mailed check,No
9323-HGFWY,Female,No,Yes,No,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),No
8544-GOQSH,Female,No,No,No,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),No
3363-DTIVD,Male,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Electronic check,No
7018-WBJNK,Male,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),No
9142-KZXOP,Male,No,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),No
7674-YTAFD,Female,No,No,No,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),No
6348-SNFUS,Male,No,Yes,Yes,No,,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),No
1285-OKIPP,Male,No,No,No,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,Yes
7825-ECJRF,Female,No,No,No,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,Yes
1347-KTTTA,Male,No,Yes,No,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),No
7841-TZDMQ,Male,No,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),Yes
